s_no,name,country_origin,flag,flag_basis,category_segment,hall,stand,source_url
1,ATIR PoliTech Pvt. Ltd.,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Startup,Hall 1,E1-01,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
2,(Montra),India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Smart Mobility,Hall 1,,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
3,*astTECS,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IT & Communications,Hall 5,A5-15,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
4,11ZA,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IT & Communications,Hall 5,B5-99,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
5,42 LL,Russia,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""Russia"".",IT & Communications,Hall 3,B3-50,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
6,9 Hindway hitech pvt ltd,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IT & Communications,Hall 5,B5-57,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
7,99 Electrical World,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Media Partner,Hall 3,A3-25,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
8,99 Electronics World,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Media Partner,,,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
9,Aabasoft Technologies India Pvt Ltd,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IT & Communications,Hall 3,C3-08,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
10,AAEON Technology Inc.,Taiwan,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""Taiwan"".",IT & Communications,Hall 5,A5-150,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
11,Aaritya Technologies Private Limited,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",FinTech,Hall 2,B2-49,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
12,Aavishakar Media,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Media Partner,Hall 5,A5-70,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
13,Acceron Infosol Pvt Ltd,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",IT & Communications,Hall 5,A5-140,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
14,Acepower,United States,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""United States"".",IT & Communications,Hall 5,E5-85,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
15,Acrel,China,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""China"".",Internet of Things,Hall 3,A3-30,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
16,Aditi Tracking,India,INDIA-DOMESTIC,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""India"".",Internet of Things,Hall 3,A3-46,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
17,ADLINK Technology Inc.,Taiwan,FOREIGN,"Country field in the official convergenceindia.org 'List of Participants' directory (structured per-exhibitor filter data — a 'Country' facet built into the site's own exhibitor search/filter UI, not free text or name-guessed) lists this exhibitor's country as ""Taiwan"".",IT & Communications,Hall 5,A5-150,https://www.convergenceindia.org/exhibitors-and-participants-convergence-india.aspx
