s_no_in_source,name,country_origin,flag,flag_basis,category_segment,hall,stall_no,email,source
45,"AINGA CO.,LTD",Korea,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Korea"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,IG-07-A,ainga2024@gmail.com,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
47,AL RAWDAH GENERAL TRADING L.L.C.,UAE,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - UAE"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,"1G-04-B,C,1G-08-A,E,F",aadil301281@gmail.com,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
48,AZRA SIAM (THAILAND) LIMITED PARTNERSHIP,Thailand,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Thailand"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,1G-08-B,azrathailand@gmail.com,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
50,BIOSAL,Korea,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Korea"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,1G-07-L,jiayou2009@esint.kr,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
51,"CLEARCHANG CO.,LTD",Korea,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Korea"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,1G-07-E,ctw3387@naver.com,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
53,DORNA SEYD MAKRAN,Iran,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Iran"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,"1G-09-G,H,I,J,K",arsalandaliry1983@gmail.com,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
55,"HANSAMKORA CO.,LTD.",Korea,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Korea"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,1G-07-C,hansam@hansam.org,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
56,"HOMEEDITIONMYUNGJIN CO., LTD.",Korea,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Korea"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,1G-07-D,export_en@homemj.co.kr,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
57,IDEAVILL CO. LTD.,Korea,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Korea"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,1G-07-B,ideavill@naver.com,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
58,"IKSAN JEWELRY CHAIN CO., LTD.",Korea,FOREIGN,"Exhibitor name in the official ITPO ""IITF 2025 - Hallwise List of Exhibitors"" PDF carries an explicit "" - Korea"" country suffix (ITPO's own annotation, not inferred), and the entry sits in the Hall 1 Ground Floor block that is the fair's International Pavilion section.",International Pavilion (Hall 1 Ground Floor),1 GF,1G-07-K,iksanc15@naver.com,https://www.itpo.gov.in/assets/images/iitf-pdf/IITF%202025%20-%20LIST%20OF%20EXHIBITORS.pdf
