name,country,city,location,exh,exhSeoId
A. Linnepe GmbH,Germany,Ennepetal,Hall 13 / A15,caravan2026.3066507,pYGlm8KFRHSe53X6Hw6GRg
A.M.A. Composites S.r.l.,Italy,Campogalliano (MO),Hall 14 / B46,caravan2026.3066778,hogJGJ7iQ8WoDiBDu9ZuDA
ABC Vermögensverwaltung GmbH,Germany,Bayerbach,"Hall 7, level 0 / A31",caravan2026.3066755,AVQlsFh7QZizeNefUgLVQw
ABENTEUER SELBSTAUSBAU,Germany,Düsseldorf,FG Hall 14 / G14-03,caravan2026.3075230,frVXFDG4Rwqnj6GMrHDrBg
Accusysteme TransWatt GmbH,Germany,Bad Sassendorf,Hall 13 / B31,caravan2026.3066540,Xhf0zuAtTHOlsWEFVyUbeQ
ACE Auto Club Europa e.V.,Germany,Stuttgart,Hall 3 / F40,caravan2026.3070260,3SdafUDHR5KuVYdBbQQGig
ACR Brändli & Vögli AG,Switzerland,Bad Zurzach,Hall 14 / D03,caravan2026.3071628,wmZMQvmLT7iX9PAtxfHBSQ
ACRYFORM d.o.o.,Slovenia,Blanca,Hall 13 / E73,caravan2026.3067379,uRSaTz2BSwKcamZhoXOPuA
ACSI der Campingspezialist,Netherlands,Andelst,"Hall 7, level 0 / B19",caravan2026.3067302,snsLRZ6wQFqBTeiqrPePhA
ACTION MOBIL GmbH & Co. KG,Austria,Saalfelden,Hall 16 / A60,caravan2026.3066776,8DJo7WNDSluyw7H3DMP56g
ACV Automobil-Club Verkehr e.V.,Germany,Köln,Hall 15 / E05,caravan2026.3066781,OHr4jkWGS1iCHSY7MlbiYQ
ADA Cosmetics International GmbH,Germany,Kehl,Hall 3 / D16,caravan2026.3066770,AAsvkbnvSXe1Sq6aOw8aQw
ADAC Autovermietung GmbH,Germany,München,Hall 5 / E01,caravan2026.3071313,nzhJE7WFTf2CrQENZaiNlg
ADAC CAMPER DES JAHRES - 05.09.2026,Germany,München,FG Hall 10 / G10-05,caravan2026.3076040,hsg5UWlJRI6ZZrA0DlZu5Q
ADAC e.V.,Germany,München,Hall 5 / E01,caravan2026.3070895,ReL2ldBJQA2eSpOv5hhUPQ
ADAC MOVE IT! PARCOURS - 04.09.-06.09.2026,Germany,München,FG Hall 16 / G16-02,caravan2026.3078431,a14H9tUkTEKzVr9Vx86xew
ADALIÇELİK SAN. TİC. LTD. ŞTİ,Türkiye,Erenler Sakarya,Hall 11 / D07,caravan2026.3072517,n9ylpaGoQ6uILgNVidDdSg
"Adria Mobil, d.o.o.",Slovenia,Novo Mesto,Hall 10 / A29-01..A29-09,caravan2026.3070376,E1sWoYiORdOEjf6omacWdg
Adria,Slovenia,Novo Mesto,Hall 10 / A29-01..A29-09,caravan2026.3070376,E1sWoYiORdOEjf6omacWdg
Adventure Camp 29.08.- 30.08 und 05.09.-06.09.2026,Germany,Düsseldorf,FG Hall 16 / G16-03,caravan2026.3075228,NXyTvm5NRsWQJoFCNFgCUw
Affinity RV Sp. z o.o.,Poland,Ozorków,Hall 15 / D56,caravan2026.3071212,a3ET3utpQcGwbGBcw2BLmA
AGO Sauberkeit für Haus und Garten GmbH & Co. KG,Germany,Bestwig,Hall 3 / F03,caravan2026.3066471,RIom04ZvRi23kQEjpsPz0w
Ahorn Camp GmbH,Germany,Speyer,Hall 11 / A26-01..A26-02,caravan2026.3068123,HrGHrBjyQdi6vw675YAh5w
Ahorn Camp GmbH,Germany,Speyer,Hall 11 / A59,caravan2026.3072797,bNTxeyjbSpeNesNonA65UQ
akf bank GmbH & Co KG,Germany,Wuppertal,Hall 11 / D69,caravan2026.3072298,rqpVqC2WTseSt0Vps9LEYg
akf leasing GmbH & Co KG,Germany,Wuppertal,Hall 11 / D69,caravan2026.3070378,M2XaKNCfQQ61fDdZ6n1l9g
AL-KO,Germany,Kötz,FG Hall 13 / G13-03,caravan2026.3069467,bmhiKXTLStCzsY6TwM6qYQ
AL-KO,Germany,Kötz,Hall 14 / A03-01..A03-03,caravan2026.3069468,zJUT0MBOQf6c0ZlFzvsS7g
AL-KO Vehicle Technology Electronics S.r,Italy,Trento,Hall 14 / A03-03,caravan2026.3083994,ldTKJ3hZSLOYkbn8A8vgDw
ALB FILTER | Blaufaktor GmbH & Co. KG,Germany,Talheim,Hall 3 / B34,caravan2026.3066436,kqvFrADTTW21mdRn9ta93A
Albatross Sportswear UG,Germany,Grasberg,Hall 3 / D04,caravan2026.3071157,BvoiOSiXQXSN1h9GaZwjwQ
Albrecht Messe Vertriebs GmbH,Germany,Horstmar,Hall 14 / B51,caravan2026.3066446,w7E24Yh1QJOSlvt95NM1nQ
Alde Deutschland GmbH,Germany,Euerbach,Hall 14 / B11,caravan2026.3067893,jRt5eEaFR1K8uMngMsWNbQ
ALDEN Deutschland GmbH,Germany,Neuenkirchen-Vörden,Hall 13 / C77,caravan2026.3071994,KPZ5PZuaT926YSUNwZpVGA
AllRoad Camper Store & Service GmbH,Netherlands,Katwijk,Hall 17 / B02,caravan2026.3070374,5sPNtNI0RLyNSR04oZDZoQ
Alois Kober GmbH,Germany,Kötz,FG Hall 13 / G13-03,caravan2026.3069467,bmhiKXTLStCzsY6TwM6qYQ
Alois Kober GmbH,Germany,Kötz,Hall 14 / A03-01..A03-03,caravan2026.3069468,zJUT0MBOQf6c0ZlFzvsS7g
Alpen camping sp. Zo.o.,Poland,Baczyna,Hall 3 / G04,caravan2026.3068711,WtbqT2z5RImQF990Un2aGg
alphatronics GmbH,Germany,Nürnberg,Hall 14 / A45,caravan2026.3066541,sGFkGkcTSy6meZ9KckTBzg
Alpincamper Michael Zaiser Isar Outdoorcenter,Germany,Lenggries,Hall 12 / A37,caravan2026.3067443,VbVN2ZUoReaIw7h0iOctqQ
ALU-LINE Metallverarbeitungsgesellschaft mbH,Germany,Bad Saulgau,Hall 13 / B77,caravan2026.3066675,HeZxSTfhTL2pOp1whnX3Hw
ALUGAS Vertriebszentrale GmbH,Germany,Bad Sobernheim,Hall 13 / D92,caravan2026.3067740,uyY2wPctStS37mlqLjR4zg
AMC Alfa Metalcraft Corporation Handelsgesellschaft mbH,Germany,Bingen,Hall 3 / H27,caravan2026.3066549,D0kXqOwKQXqOb3Twd9P1mg
AMF-Bruns Freizeitmobile GmbH & Co. KG,Germany,Apen,Hall 12 / B53,caravan2026.3066894,ZiQRDwE9SIyo1mQqTdEskQ
AMG Group Ltd,United Kingdom of Great Britain and Northern Ireland,Port Glasgow,Hall 3 / C60,caravan2026.3069473,Nns4ONDXR6Gwfw5E7y4gQA
AMPLO SRL,Italy,Carpi (MO),Hall 13 / B58,caravan2026.3066678,uc03sdvKT3KYC7qmugPEEw
Anker Caravan Berlin Ilker Aktürk,Germany,Berlin,Hall 11 / C10,caravan2026.3079801,jFKOJLwnQBWIXTmIKFSIxw
Antilope VAN Deutschland GmbH & Co. KG,Germany,Erftstadt,Hall 15 / D09,caravan2026.3068842,NJGtf4nDQfO6636NlHInwg
APLAST d.o.o.,Slovenia,Zalec,Hall 13 / E74,caravan2026.3066353,1qZsGDlIRQ6sShDngjL3Fg
AQUION Beratung Illo & Mops Oliver Kunze,Germany,Bochum,Hall 14 / D48,caravan2026.3068894,cG9iDAltRKqieT1SH6KGag
AREV Lighting GmbH,Germany,Sankt Augustin,Hall 14 / C59,caravan2026.3066504,DOe0RAPERyisc6JIWtywOQ
ARKAS SP. Z O.O.,Poland,Jawor,Hall 3 / H18,caravan2026.3069534,Y85BCsrFTfiVNTyKSez50A
Arnott Europe B.V.,Netherlands,Waalwijk,Hall 13 / D32,caravan2026.3067894,KW4iyr6YRYKEB9X68R4k1g
Arts Fuarcılık Org.San.ve tic.ltd.şti.,Türkiye,İzmir,FG Hall 15 / G15-02,caravan2026.3071269,INWPUURQQdO87bpfdOEZdQ
ASN Autositze Nobis Angelika Nobis,Germany,Bad Wildungen,Hall 13 / E58,caravan2026.3066394,Ro1L9qi1QBiLXxdQv3vDVQ
ASSOCIACIÓ DE CÀMPINGS DE GIRONA Camping Verband von Girona,Spain,Girona,"Hall 7, level 0 / E01",caravan2026.3078434,iQFxfuNRQuGjA4h06MeS2Q
ASUKA AUTOTRONICS INC,Taiwan,Hsinchu,Hall 13 / C51,caravan2026.3072974,oMcJGgXpTK6Achtt2sBIrA
ATLANTIS S.r.l.,Italy,Pescantina (VR),Hall 11 / A54,caravan2026.3067444,k2mQNSa8RuGJEFxQC3TLtQ
ATventure Reisemobile,Germany,Schmallenberg,Hall 16 / A27,caravan2026.3066474,ENDejInlSCKY37Y1y8ljCw
Audio Design GmbH,Germany,Kronau,Hall 13 / F77,caravan2026.3071264,kRwDqoSwTSyD8IVUY2UNBw
Ausbildung Caravan- & Reisemobiltechnik,Germany,Frankfurt,FG Hall 16 / G16-01-02,caravan2026.3080399,KjVRkKDGRZ6blIsAdhiNPQ
Australien – Caravan & Camping - Caravan Industry Association of Australia Ltd.,Australia,Port Melbourne,"Hall 7, level 0 / C25",caravan2026.3068263,0XmNcz5bQ1e0zPe8p6Nt2A
AUTOHOME,Italy,Rivarolo Mantovano (MN),Hall 7a / C01,caravan2026.3070893,aSGZMcOESDeqlqJoYr1cbw
Avtex Limited,United Kingdom of Great Britain and Northern Ireland,Cardiff,Hall 14 / D08,caravan2026.3066359,SLCROxxhQWCplLXFcdd3wQ
"Awnlux shanghai sunshade technology co., Ltd.",China,Shanghai,Hall 3 / F94,caravan2026.3066553,tuUxmed2Sum2pkKQq5NEQw
BALCAMP Sp. z o.o Spolka Komandytowa,Poland,Lapino,Hall 15 / C16,caravan2026.3067265,I4HFGQ57SsCagB6tU2BKbA
Baldacci S.R.L.,Italy,Ponsacco (PI),Hall 13 / E25,caravan2026.3068683,SjwiLLIZRO2di5WFt4twNg
Baltic Promo MB,Lithuania,Klaipeda,FG Hall 12 / G12-04,caravan2026.3074520,4pqIH2jBQhGDXsjfzamp0A
BARTOLACCI DESIGN SRL,Italy,Rosano Firenze,Hall 13 / D40,caravan2026.3066534,run5HwBGSuu6R2befrqoyg
Batterieschmiede GmbH,Germany,Memmingen,Hall 13 / F62,caravan2026.3071555,6Wj0TQjjRcyBSXkn1230vg
batterium GmbH,Germany,Freiberg am Neckar,Hall 13 / F17,caravan2026.3068221,Rtir17CFTbCaTV5tUa3ADw
Bax Kampeer Totaal BV,Netherlands,Bergeijk,Hall 3 / A94,caravan2026.3068990,ajdjZ98qRpGHvfWtuucktA
Beauer SAS,France,Mazieres en Mauges,Hall 11 / D25,caravan2026.3067264,FMent0JqS8Kuyut5qr2iyw
bedi sport Markus Dietrich Sportfachhandel,Germany,Neustadt,Hall 3 / D36,caravan2026.3067384,UAZycFdTQEuIbKg69gAndw
Belluna GmbH,Germany,Wanfried,Hall 3 / C27,caravan2026.3071276,T9zKujTeS3KBs70EJwcrbw
Ben Eilers Tenten B.V.,Netherlands,Roermond,Hall 3 / F54,caravan2026.3070271,93jbtSiEQfmTbYTcaClqxg
BENIMAR OCARSA S.A.U,Spain,Peniscola (Castellon),Hall 10 / A21-01..A21-02,caravan2026.3069893,BJ52r6WuQsS7Jmtdely2Sg
BENTON,"Hong Kong, China SAR",Hong Kong,Hall 13 / D50,caravan2026.3068855,jMyrPvZOSyuOZeTKwBXkuQ
Bergverlag Rother GmbH,Germany,Oberhaching,"Hall 7, level 0 / E25",caravan2026.3077468,Hs5RNCMMQnqAPjfZvF7d9Q
Berhimi,Germany,Lüdinghausen,Hall 13 / F11,caravan2026.3070391,GIpbVC3AQI69YmVKlQ8IFg
Berr GmbH,Germany,Lüdinghausen,Hall 13 / F11,caravan2026.3070391,GIpbVC3AQI69YmVKlQ8IFg
Best Camping Parts UG (haftungsbeschränkt),Germany,Innernzell,Hall 3 / D93,caravan2026.3070400,8TOk8Qt3RlOwkt4mx7oFIA
bike-holder – Fahrradhalter / Rollerhalter,Germany,Grafrath,Hall 14 / A51,caravan2026.3066823,U9ekFyqyQZGTMZynHHyuaA
bikeboxer. BV,Netherlands,Zoetermeer,Hall 3 / C26,caravan2026.3067309,VF6bagp7RCqCjFuFE6Uorw
Bikersdream Sepp Kanzian,Germany,Rieden,Hall 3 / H35,caravan2026.3066698,7ef7SBapQVqe61hWqh81AQ
bimobil - von Liebe GmbH,Germany,Oberpframmern,Hall 16 / B23,caravan2026.3067575,J187ukm1Q061b2bJ7fPmyg
bimobil,Germany,Oberpframmern,Hall 16 / B23,caravan2026.3067575,J187ukm1Q061b2bJ7fPmyg
BioTioo,Germany,Überlingen,Hall 13 / C49,caravan2026.3068088,UMRYz51bTpqnYgukKd2mCg
BLACKCAMP Schwarz GmbH,Italy,Frangart,Hall 16 / A77,caravan2026.3068720,peoNElqaRtSitc51e9q07w
Blase GmbH & Co. KG,Germany,Lübbecke,Hall 13 / C03,caravan2026.3066379,fJqndKITRrmKS6XhEmPmSA
Bliss Mobil BV,Netherlands,Breda,Hall 16 / A38,caravan2026.3069434,KBcGeDawRWugHppn757j6A
bluuwater GmbH,Germany,Schwarzach am Main,Hall 13 / E63,caravan2026.3066375,cY5tHVZeSLaTZVnB2JRHRw
BNP Paribas S.A. Niederlassung Deutschland AG Consors Finanz,Germany,München,Hall 10 / D52,caravan2026.3070319,QZXa3ko8RK2d7IASaMc8Bw
Bo-Camp,Netherlands,Gilze,Hall 3 / D34,caravan2026.3069513,RS4gNYExS5OVMpUzltHkqA
BOBs Garage GmbH & Co. KG,Germany,Grafrath,Hall 14 / A51,caravan2026.3066823,U9ekFyqyQZGTMZynHHyuaA
Bocar Sp.z.o.o,Poland,Wrzosowa-Korwinów,Hall 12 / A83,caravan2026.3071631,gyTTadeRQvClrUcYZLh30w
Bokamak BV,Netherlands,Veenendaal,Hall 3 / B27,caravan2026.3070730,lpqY1PyoTf2op2zclF5hDg
boot Düsseldorf,Germany,Düsseldorf,North Entrance / N05,caravan2026.3080651,Pt2fITbCSEShELw789L0ww
BOS Balance of Storage Systems AG,Germany,Ulm,Hall 14 / C50,caravan2026.3071890,Oofg6ZPcQLa4wJHPzg0ZZw
Boxmanufaktur GmbH,Germany,Sottrum,Hall 16 / B59,caravan2026.3070252,S8sNXlUoQICTHOMgaR1utg
Br-Systems,Belgium,Kortrijk,Hall 13 / B87,caravan2026.3068721,C1iNby8PRVqSvLp2pZXvag
Bravia mobil d.o.o.,Slovenia,Novo Mesto,Hall 11 / B26-01,caravan2026.3078380,gvhrbHAOSui2leTLjTgtUA
Bravia mobil,Germany,Wolfhagen,Hall 11 / B26-01..B26-03,caravan2026.3069996,jqTHfg0wQbWGGApRRekn9g
Bremer- Sitzbezüge GmbH,Germany,Achim,Hall 3 / B18,caravan2026.3066629,myYHCOt5RlOi0NRgv2H7Ng
Brianza Plastica S.p.A.,Italy,Carate Brianza,Hall 13 / E15,caravan2026.3066731,8V6fVewASC23FibXwz3KLg
Bruder RV,Germany,Karlsruhe,Hall 16 / B60,caravan2026.3067065,l4yMKt42TmG1FnbuB3ikyQ
Brunner S.r.l.,Italy,Bolzano/Bozen,Hall 13 / B65,caravan2026.3070017,MHn0Zm5iR3CmPEYutinpDA
Büttner Dometic,Germany,Emsdetten,Hall 14 / C03,caravan2026.3071085,ohab4FZuRdaGMj8roCmOOg
Bulltron GmbH,Germany,Radbruch,Hall 13 / A61,caravan2026.3070019,1F4oXwTYSauyipvocdlXsw
Bundesverband der Campingwirtschaft in Deutschland/Landesverband Mecklenburg- Vorpommern e.V. (BVCD/MV e.V.),Germany,Rostock,"Hall 7, level 0 / E14",caravan2026.3069852,3NTikH8DTdCRoDN3Ybfn9w
Burow Reisemobile GmbH,Germany,Mering,Hall 15 / A25,caravan2026.3071228,lYILkdLWRH2v4THuOD1Dpg
Bürstner GmbH & Co. KG,Germany,Kehl,Hall 6 / B05-01..B05-02,caravan2026.3068679,5L1ffvcZSF2p5DQy0hUQCA
Bus-Boxx GmbH & Co. KG,Germany,Bamberg,Hall 13 / D31,caravan2026.3068568,DSxyvieIT7uI1RndyF9PXg
Busbiker Europe BV,Netherlands,Lomm,Hall 13 / A75,caravan2026.3066510,PseL56WuRiWcQqigcIcEEA
The Bush Company,Germany,Karlsruhe,Hall 16 / B60,caravan2026.3067065,l4yMKt42TmG1FnbuB3ikyQ
BVCD Landesverband Niedersachsen e.V.,Germany,Drage,"Hall 7, level 0 / E11",caravan2026.3076163,1DYZS9qfSTmbU5tSxd764A
BVCD-NRW e.V. Bundesverband der Campingwirtschaft in Deutschland; Landesverband NRW,Germany,Sonsbeck,"Hall 7, level 0 / E18",caravan2026.3071867,T45H97MZTqecFqTwYQ1I6w
"Byway Tech (Shanghai) Co., Ltd",China,Shanghai,Hall 13 / A94,caravan2026.3066555,vyVweuVsSs2zAOK80kZ3lw
C&#8217;est si Bon Campings - Association C'est si Bon SARL,France,Champs Romain,"Hall 7, level 0 / B25",caravan2026.3071911,5vVMiMBeTbakwpwnt1VslQ
CA Auto Bank S.p.A. Niederlassung Deutschland,Germany,Heilbronn,Hall 17 / A20-02,caravan2026.3077760,JfRUgBUKS0Wg7Xb3a9hcQw
CABANON (MTC) SA,France,Dunkerque,Hall 3 / E50,caravan2026.3071866,1dsG45W1SyOj8tyFl5ub7Q
Cadac Dometic,Germany,Emsdetten,Hall 3 / B70-01..B70-03,caravan2026.3071154,CcR5tDLAR7SDOZfKrEgMUg
Camos Europe GmbH,Germany,Trittau,Hall 13 / F87,caravan2026.3067899,Nqr2v0TRSfylywnHMyTSzg
CAMP/24 Check-In GmbH,Germany,Rielasingen-Worblingen,FG Hall 16 / G16-01,caravan2026.3078043,tOX44pHkTUmkNv8fE7chgA
CAMP/24 Check-In GmbH,Germany,Rielasingen-Worblingen,"Hall 7, level 0 / A36",caravan2026.3070281,0wm5FgbrRgqXdSpVwnVr5g
CampBoks GmbH,Austria,Euratsfeld,Hall 12 / B67,caravan2026.3066545,KhCAW6ldQvOtg6k6ESfrFw
CampConcept AT e.U. Inh. Benjamin Ebert,Austria,Millstadt am See,FG Hall 16 / G16-01,caravan2026.3075791,ck1coG9tTBCuibhQ5Oyz9Q
Camper Active GmbH,Germany,Düsseldorf,Hall 3 / A15,caravan2026.3071077,U4JsB5QGTaWx6wN9wkckQA
Camper Schmiede GmbH,Germany,Mönchengladbach,Hall 15 / A36,caravan2026.3070373,6OeyAJOTRROV5wc4CkEYKQ
Camperboards GmbH,Germany,Leverkusen,Hall 14 / A52,caravan2026.3066727,mbK5ZBClTJeFtyDgbBq1OQ
CamperClean GmbH,Germany,Schermbeck,FG Hall 16 / G16-01,caravan2026.3079333,9h1SJtGbTAGgxis72RRR1w
Campercontact B.V.,Netherlands,Soesterberg,Hall 10 / C55,caravan2026.3075688,lxbxLuBzRRyC1oC3l50OSg
CamperDays GmbH,Germany,Köln,Hall 12 / A63,caravan2026.3069901,NII0UAGnQyCRg5a8YFGJww
CamperFix OOD,Bulgaria,Sofia,Hall 3 / E37,caravan2026.3067644,CQwD6NEvThKJ0lVV37kyQA
CamperFix OOD,Bulgaria,Sofia,Hall 16 / B55,caravan2026.3075696,RKwerMgsQfeKWSqQdaiQ5g
Campermanufaktur Berlin Tornow GmbH,Germany,Berlin,Hall 17 / A12-01,caravan2026.3082738,E6AWFtLwQlOVHUTAFXPjYw
CAMPERNET by Antretter & Huber GmbH,Switzerland,Bad Zurzach,Hall 14 / D03,caravan2026.3071628,wmZMQvmLT7iX9PAtxfHBSQ
Camperspol Sp. z o.o.,Poland,Plewiska,Hall 16 / A56,caravan2026.3071416,LZO79y89Qd6pzH89thpXxQ
campervanspot.com GmbH,Germany,Köln,Hall 17 / A12-02,caravan2026.3081766,3NKoZj7PS6GqyOGAE08XEw
campervanspot.com GmbH,Germany,Köln,Hall 17 / A12-01,caravan2026.3078457,KG5iyXGLQaGsCHHeRowSOQ
Camping & Bungalows Salatà S.L.,Spain,Roses,"Hall 7, level 0 / E01",caravan2026.3081106,Se34bOWHRE6htg3HZVgTGg
