name,country,city,location,exh,exhSeoId
A+W Software GmbH,Germany,Fernwald,Hall 14 / E59,glasstec2026.3056898,DW6NjrxqQEa7c6Jyig1fDg
A151 S.r.l.,Italy,Cormano (MI),Hall 14 / A37,glasstec2026.3058592,ZNLAZN60R0WOGsnmAFR8vw
ABLE TARGET LIMITED,China,Nanjing,Hall 12 / F15,glasstec2026.3054087,0ZEiBrixTc69BU88W1Ak2A
"Accuramech Industrial Engineering Pvt., Ltd.",India,Pune,Hall 13 / A49,glasstec2026.3081391,We0wGqqGRey3TJKRDi6QtQ
ACMOS CHEMIE KG,Germany,Bremen,Hall 13 / F73,glasstec2026.3050051,PrWpoaZbQkGuFMMrOGiaww
Adelio Lattuada Srl,Italy,Carbonate (CO),Hall 16 / A30,glasstec2026.3063622,5PS7Rn56TG2dNbNPZKOA8A
ADI s.r.l.,Italy,Thiene (VI),Hall 16 / C38,glasstec2026.3055082,8QNPexOST0KYVO2ufk2XuA
AdvaMat Coatings s.r.o.,Czechia,Praha,Hall 11 / G80,glasstec2026.3078695,4Wcag5QZRaOvW76QPhEYIQ
ADVANCED CONTAINER HANDLING S.R.L.,Italy,Parma,Hall 12 / D15,glasstec2026.3077512,SKN0uOW2S2e0fSAogX6O3g
"Advanced Control Solutions, Inc.",USA,"Sylvania, OH",Hall 13 / A02,glasstec2026.3077533,NDtdsYifSx6MQUuFUyglDQ
Advanced Energy Industries GmbH,Germany,Metzingen,Hall 12 / E32,glasstec2026.3050058,qxk82a63TSGj2odGQBU0pg
AEROPE GmbH,Austria,Stockerau,Hall 12 / D41,glasstec2026.3071459,7TGx9w97Q462YdH2klhYSA
"AGC Ceramics Co., Ltd.",Japan,Tokyo,Hall 13 / C13,glasstec2026.3050245,y2iyyv2kTh2sn9NjUSIdug
Agr International Inc.,USA,"Butler, PA",Hall 14 / C40,glasstec2026.3050207,eHJgdQtCQOqjfxglR0ZsaQ
Akar Makina San. ve Tic. A.S.,Türkiye,Eskisehir,Hall 15 / F43,glasstec2026.3050180,HNfUk9e9Q2KYdOV96WS1vw
Akdag Makina Kalip ve Yedek Parca Akdag Moulds and Spare Parts,Türkiye,"Zeytinburnu, Istanbul",Hall 13 / F66,glasstec2026.3062862,O19NfYptRF6KzYwcGwgRDA
AKSHAR GLOBAL,India,"Jamnagar, Gujarat",Hall 11 / E73,glasstec2026.3067400,IiuEPM7ORJSko9mn6X4leQ
ALL GLASS (SUQIAN) LIMITED,China,"Suqian, Jiangsu",Hall 11 / A84-1,glasstec2026.3078523,BA6g1pQ3Tg6qnXUcPjrulw
ALL GLASS Srl,Italy,Traversetolo (PR),Hall 13 / C41,glasstec2026.3050224,NcR78OVvQxKM8cKzL5gTtQ
ALTINGOZ ISIYA DAYANIKLI MALZEME SAN. TIC. A.S,Türkiye,Kocaeli,Hall 13 / F56,glasstec2026.3064248,ACrjBV5DQNqf6wk3jzeXvQ
ALU-PRO Spa,Italy,Noale (VE),Hall 16 / C11,glasstec2026.3061095,5WugnHfXRIOpANgHc6vWnw
AMBEG Dr. J. Dichter GmbH,Germany,Berlin,Hall 14 / G02,glasstec2026.3050035,HBd8Ti7GTw6led7eqr0wVg
AMD OPTICAL SORTING Co. Ltd.,China,"Hefei, Anhui",Hall 12 / D75-1,glasstec2026.3078500,pOupMp6hQHC8Bh5RRpCWzA
Ametek GmbH Solartron Metrology,Germany,Meerbusch,Hall 14 / B24,glasstec2026.3063739,ydt9OMt7TZy0zrIj1b6Pgw
"Anderson Thermal Solutions (Suzhou) Co,.LTD",China,"Suzhou, Jiangsu",Hall 13 / A81,glasstec2026.3050219,SQ3U5RtURuSlJzIGy4oOWw
ANGELIKA PIETSCH,Germany,Alpen,Hall 11 / A06,glasstec2026.3081635,CsgUd398RC2iXJmd0nKO0g
ANGRA Sp. z o.o.,Poland,Kędzierzyn-Koźle,Hall 11 / B80,glasstec2026.3068472,kratip4iROqEpyDE4DFoLg
"ANHUI ANGU HIGH-TECHNOLOGY CO., LTD.",China,"Bengbu City, Anhui Province",Hall 10 / E10,glasstec2026.3054298,gJdz8uCHS4GJDPE1Kv2Sfg
"Anhui Champion Machinery Equipment Technology Co.,Ltd.",China,"Bengbu City, Anhui",Hall 13 / F86,glasstec2026.3055782,V1AGZOKRRkOsoKYUeLAI2w
"Anhui Fuzhiyuan Building Materials Co., Ltd.",China,"Fuyang, Anhui",Hall 11 / A88-2,glasstec2026.3078184,UXDFoaSqSMyXwZRmfaKwAg
"ANHUI JINGLING GLASS MACHINERY CO.,LTD",China,Bengbu,Hall 11 / C84-3,glasstec2026.3078167,7ZZ2QkGDSvewWbFMxCfpbA
"Anhui Jixingyuan Technology Co., Ltd.",China,"Huainan City, Anhui Province",Hall 15 / D63,glasstec2026.3055007,Bsuj9cVfQiiRqrOWk33MWQ
"ANHUI MORNSUN INTERNATIONAL CO., LTD.",China,"Hefei, Anhui",Hall 14 / F48,glasstec2026.3051207,PWDdU8fhSj6zW8sY8ALM6Q
"ANHUI SHUNHANG NEW MATERIAL CO., LTD.",China,"Hefei, Anhui",Hall 10 / G04-9,glasstec2026.3078648,NGmSBnX8SWaeffN6g0TIbQ
"ANHUI SUNDIATEC SCIENCE & TECHNOLOGY CO.,LTD",China,XUANCHENG,Hall 14 / D47,glasstec2026.3062857,Wg631M3fRFqcIjd5vu2ZoA
"Anhui Yaojing New Material Technology Co., Ltd.",China,Chuzhou,Hall 10 / F04-3,glasstec2026.3078166,1UHveiatRna8yDKQS8IT8Q
"ANHUI YINRUI INTELLIGENT TECHNOLOGY CO., LTD.",China,"Bengbu, Anhui Province",Hall 12 / C75,glasstec2026.3052742,zDPQBDZ7SbCtpgf0xwwDvw
Ankara Bronz Alaşımları San.Tic.Ltd.Şti,Türkiye,Ankara,Hall 13 / B82,glasstec2026.3053562,DxqoVNnbQiyKNlZ7gy9Szw
Antares Vision Group dba of Applied Vision Corporation,USA,"Cuyahoga Falls, OH",Hall 14 / A02,glasstec2026.3059243,8K3EkmQOQcCbilCEEg91zg
Antique Mirror S.r.l.,Italy,Sovicille (SI),Hall 10 / C12,glasstec2026.3061555,kPXfGc8sRBOaUS8KG9Fakw
Antonini S.r.l.,Italy,Empoli (FI),Hall 13 / E04,glasstec2026.3063642,lL9Qf4NoSASRnWbQDs6BPg
Arabian German for Exhibition LLC,Egypt,"Cairo, Nasr",Hall 10 / C79,glasstec2026.3083787,4wmwyuA6SD2TNepD0zZS9Q
arcon Flach- und Sicherheitsglas GmbH & Co. KG,Germany,Feuchtwangen,Hall 11 / H54,glasstec2026.3050050,B7dH3MtPRgeEK5qNENOZrA
ARDAKAN Float Glass Co.,"Iran, Islamic Republic",Tehran,Hall 10 / G54,glasstec2026.3080243,wADkoPTURLeCsLnmHcfuaA
Area Impianti S.p.A.,Italy,Albignasego (PD),Hall 13 / C75,glasstec2026.3063249,AueaUQ1xT8mKe1jZ8rLqgQ
ARKEMA France SA,France,Colombes Cedex,Hall 10 / C42,glasstec2026.3050274,UauYNBGwQzSxtnrlNLd2qA
Arla Plast AB,Sweden,Borensberg,Hall 11 / K63,glasstec2026.3058568,sS8f4EozR6qAF2eHnFAcHg
ARTI VETRO SRL,Italy,Puglianello (BN),Hall 12 / G72,glasstec2026.3068896,vb3D5Ne0QmKXgcs1OeelLQ
ARTIFEX Dr. Lohmann GmbH & Co. KG,Germany,Kaltenkirchen,Hall 15 / G56,glasstec2026.3050056,bADjVyNESzatOvAsCA2lfw
Arzuffi PVD srl,Italy,Bernareggio,Hall 12 / D68,glasstec2026.3052704,KKLhL2S6RpSI5TxhrFGLvA
ASEP AUTOMATION D.O.O.,Croatia,Hum Na Sutli,Hall 11 / E24,glasstec2026.3064312,n3lRMRRnTHOz6K4oVk5ykw
