name,country_iso3,country_label,city,email,homepage,rewriteId
5 EFFE SRL,ITA,Italy,Prato,sales@cafissi.it,,5-effe-srl
Aadya International,IND,India,"Kasna, Greater Noida",contact.aadyainternational@gmail.com,www.aadyahome.com,aadya-international
ABBS International Inc.,IND,India,Panipat,suren@abbs.in,www.abbs.in,abbs-international-inc
ABC Tekstil Sanayi ve Ticaret A.S.,TUR,Türkiye,Pamukkale /Denizli,abc@abctekstil.com,www.abctekstil.com,abc-tekstil-sanayi-ve-ticaret-as
"ABC Textile, LLC",ARM,Armenia,Artashat,aram.muradyan@anitex.am,www.abctextile.am,abc-textile-llc
Abdul Ahad Textile Mills (Pvt) Ltd.,PAK,Pakistan,Faisalabad,aamir@abdulahadtextiles.com,www.abdulahadtextiles.com,abdul-ahad-textile-mills-pvt-ltd
Abdur Rahman Corporation (Pvt.) Ltd.,PAK,Pakistan,Faisalabad,ahmad@arctex.com.pk,www.arc.com.pk,abdur-rahman-corporation-pvt-ltd
A.B. Export Pvt. Ltd.,PAK,Pakistan,Faisalabad,mudassar@ab.com.pk,www.ab.com.pk,ab-export-pvt-ltd
ABN Pazarlama Konfeksiyon Tekstil San. ve Tic. Ltd. Sti.,TUR,Türkiye,Denizli,emre.sengul@abntekstil.com,abntekstil.com,abn-pazarlama-konfeksiyon-tekstil-san-ve-tic-ltd-sti
ABS International,USA,United States,Lake Forest California,pyan@pacbell.net,www.abstrade.com,abs-international
Acg Kinna Automatic AB,SWE,Sweden,Skene,tomas.aspenskog@kinnaautomatic.com,www.kinnaautomatic.com,acg-kinna-automatic-ab
Achal Amit &amp; Co.,IND,India,Agra,agra@achalamit.in,www.achalamit.com,achal-amit--co
"ACL Impex, Lda.",PRT,Portugal,"Gondar, Guimaraes",vitoria.rodrigues@acl-home.com,www.aclimpex.com,acl-impex-lda
ACS Textiles (Bangladesh) Limited,BGD,Bangladesh,Dhaka,shukhan@acstextiles.com,www.acstextiles.com,acs-textiles-bangladesh-limited
"Adalberto Textile Solutions, S.A.",PRT,Portugal,Rebordões,cmacedo@adalberto.pt,https://adalbertotextilesolutions.com/,adalberto-textile-solutions-sa
Astrid Davidse Design,NLD,Netherlands,'s-Gravenhage,martin@astriddavidse.com,www.astriddavidse.nl,astrid-davidse-design
Adea Tekstil,TUR,Türkiye,"Merkezefendi, Denizli",,,adea-tekstil
Dizayn Ev Tekstil San. ve Tic. Ltd. Sti. ADEKO,TUR,Türkiye,"Kestel, Bursa",furkanaytac@adekodesign.com,www.adekodesign.com,dizayn-ev-tekstil-san-ve-tic-ltd-sti-adeko
Adnan Apparel,PAK,Pakistan,Karachi,yasser@adnantextiles.pk,www.adnantextiles.com,adnan-apparel
Adoksan Tekstil San. ve Tic. A.S.,TUR,Türkiye,"Nilufer, Bursa",sales2@adoksan.com.tr,www.adoksan.com.tr,adoksan-tekstil-san-ve-tic-as
ADVANSA Marketing GmbH,DEU,Germany,Hamm,information@advansa.com,www.advansa.com,advansa-marketing-gmbh
A. E. Fabrics (Pvt.) Ltd.,PAK,Pakistan,Faisalabad,info@aefabrics.com,www.aefabrics.com,a-e-fabrics-pvt-ltd
Afroze Textile Industries (Pvt) Ltd.,PAK,Pakistan,"Karachi, Sindh",info@afroze.com,www.afrozetextiles.com,afroze-textile-industries-pvt-ltd
Agaoglu Tekstil San. ve Tic. A.S.,TUR,Türkiye,Usak,info@agaoglu.com,www.agaoglu.com,agaoglu-tekstil-san-ve-tic-as
AGATE HOME FASHIONS,IND,India,Panipat,md@agatehomefashions.com,www.agatehomefashions.com,agate-home-fashions
Agmamito Sp. z o.o.,POL,Poland,Jasin,info@agmamito.com,,agmamito-sp-z-oo
A.G.M. S.r.l.,ITA,Italy,Tornaco,agm@agminks.com,www.agmsrl.biz,agm-srl
