name,country_iso3,country_label,city,email,homepage,rewriteId
1TO3 Energy GmbH,DEU,Germany,Köln,hallo@1to3.energy,www.1to3.energy,1to3-energy-gmbh
3i International Innovative Industries SA,GRC,Greece,Metamorfosi,export@isopipe.eu,www.isopipe.eu,3i-international-innovative-industries-sa
4TANKS S.r.l.,ITA,Italy,Castelnuovo del Garda,federico@4tanks.it,,4tanks-srl
22 7 ENTERPRISE,IND,India,Ahmedabad,santosh@22-7.co.in,https://227enterprise.com/,22-7-enterprise
Aalberts integrated piping systems B.V.,NLD,Netherlands,Hilversum,info.de@aalberts-ips.com,www.aalberts-ips.com,aalberts-integrated-piping-systems-bv
AAT Alber Antriebstechnik GmbH,DEU,Germany,Albstadt,info@cargomaster.org,www.cargomaster.org,aat-alber-antriebstechnik-gmbh
ABA BEUL GLOBAL GmbH,DEU,Germany,Attendorn,info@ababeulglobal.com,www.ababeulglobal.com,aba-beul-global-gmbh
ABB AG,DEU,Germany,Mannheim,motion@de.abb.com,www.abb.de,abb-ag
ABB STOTZ-KONTAKT GmbH,DEU,Germany,Heidelberg,info.stotz@de.abb.com,https://abb.de/stotz-kontakt,abb-stotz---kontakt-gmbh
"ABN Pipe Systems, S.L.U.",ESP,Spain,A Coruna,sgarcia@grupoabn.com,www.abnpipesystems.com,abn-pipe-systems-slu
Abora Energy SLU,ESP,Spain,Zaragoza,info@abora-solar.com,www.abora-solar.com,abora-energy-slu
Accesorios Elasticos Lesol SL,ESP,Spain,Donostia/San Sebastian,psll@lesol.es,www.lesol.es,accesorios-elasticos-lesol-sl
ACOND a.s.,CZE,Czech Republic,Praha,info@acond.de,www.acond.de,acond-as
Air Conditioning Accessories Yesodot ACP Cooperative Agricultural Association Ltd,ISR,Israel,"Moshav Yesodot, D.N. Sorek Valley",,,air-conditioning-accessories-yesodot-acp-cooperative-agricultural-association-ltd
Acquabella,ESP,Spain,La Vall D'Uixo,acquabella@construplas.com,www.acquabella.com,construplas-sl
Acquaer Ipari &Eacute;s Kereskedelmi Kft.,HUN,Hungary,Fehérgyarmat,,www.acquaer.hu,acquaer-ipari-s-kereskedelmi-kft
Acquaviva India Private Limited,IND,India,Gautam Buddha Nagar,sales@acqua-viva.de,www.acquaviva.in,acquaviva-india-private-limited
ACS Klima Isitma Sogutma Havalandirma San ve Tic. AS,TUR,Türkiye,Izmir,info@acsklima.com,https://www.acsklima.com/,acs-klima-isitma-sogutma-havalandirma-san-ve-tic-as
Adell Armatur ve Vana Fabrikalari A.S.,TUR,Türkiye,Istanbul (Europe),info@adell.com,www.adell.com,adell-armatur-ve-vana-fabrikalari-as
ADEY Innovation SAS,FRA,France,Asnières sur Seine,adey.de@adey.com,www.adey.com/eu/de,adey-innovation-sas
Adolf Schmidt Metallwaren- und Holzschraubenfabrik GmbH,DEU,Germany,Wuppertal,info@asw24.de,www.asw24.de,adolf-schmidt-metallwaren--und-holzschraubenfabrik-gmbh
advalju GmbH &amp; Co. KG,DEU,Germany,Münster,,www.advalju.de,advalju-gmbh--co-kg
Advansor A/S,DNK,Denmark,Brabrand,sales@advansor.com,www.advansor.com,advansor-as
Advantix SPA,ITA,Italy,Arcole - Verona,info@advantixspa.it,www.advantixspa.it,advantix-spa
