name,country_iso3,country_label,city,email,homepage,rewriteId
1Home Solutions GmbH,DEU,Germany,Berlin,tim.konrath@1home.io,https://www.1home.io/,1home-doo
"2 in 1 Technology Co., Limited",HKG,Hong Kong,"Tsimshatsui, Kowloon",sales@cn2in1.com,www.hyfdconnector.com,2-in-1-technology-co-limited
2N TELEKOMUNIKACE a.s.,CZE,Czech Republic,Praha,sales@2n.cz,www.2n.com,2n-telekomunikace-as
3B Profiles S.r.l.,ITA,Italy,Casciago,info@3bpro.com,https://3bpro.com/,3b-profiles-srl
3F Filippi S.p.A.,ITA,Italy,Pianoro,3f-filippi@3f-filippi.it,www.3f-filippi.com,3f-filippi-spa
4S4 Lighting OOD,BGR,Bulgaria,Sofia,yevhen@4s4group.bg,4s4group.bg,4s4-lighting-ood
A.A.G. Stucchi S.r.l. Unico Socio,ITA,Italy,Olginate,info@aagstucchi.it,www.aagstucchi.it,aag-stucchi-srl-unico-socio
"Shenzhen Aalight Technology Co., Ltd.",CHN,China,Shenzhen Guangdong,sales@aalights.com,www.aalights.com,shenzhen-aalight-technology-coltd
ABB AG,DEU,Germany,Mannheim,contact.center@de.abb.com,https://new.abb.com/de,abb-ag
ABB AG STOTZ-KONTAKT,DEU,Germany,Heidelberg,elektrifizierung@de.abb.com,https://new.abb.com/low-voltage/de,abb-ag-stotz-kontakt
Abdullahoglu Elektrik Aydinlatma Sanayi ve Ticaret Anonim Sirketi,TUR,Türkiye,"Silivri, Istanbul",info@acklighting.com,www.lumover.com,abdullahoglu-elektrik-aydinlatma-sanayi-ve-ticaret-anonim-sirketi
ABN GmbH,DEU,Germany,Neuenstadt am Kocher,de-abn-zentrale@se.com,www.abn-electro.com,abn-gmbh
APOSTOLIDIS AEBE &ndash; ACA,GRC,Greece,Serres,info@acalight.gr,www.acalight.gr,apostolidis-aebe--aca
"ACB Iluminacion, S.L.",ESP,Spain,Ribarroja del Turia,acbiluminacion@acbiluminacion.com,www.acbiluminacion.com,acb-iluminacion-sl
Acclaim Lighting Europe B.V.,NLD,Netherlands,Kerkrade,info@acclaimlighting.eu,www.acclaimlighting.com,acclaim-lighting-europe-bv
ACCORDIA SA,GRC,Greece,Thessaloniki,welcome@accordia.gr,https://www.accordia.gr/en,accordia-sa
HK Acevel International Group Limited,HKG,Hong Kong,Wanchai,info@acevel.com,www.acevel.com,hk-acevel-international-group-limited
Acolyte,NLD,Netherlands,Weesp,marketing@genledbrands.com,acolyteled.com,agilight-bv
ACRILUX S.r.l.,ITA,Italy,Recanati,commercialservices@acrilux.com,www.acrilux.com,acrilux-srl
"Xiamen AcTEC Electronics Co., Ltd.",CHN,China,Xiamen Fujian,info@actec.com.cn,www.actec.com.cn,xiamen-actec-electronics-co-ltd
ADD - BULGARIA OOD,BGR,Bulgaria,Plovdiv,vesela.malinowska@add-bg.com,www.add-bg.com,add---bulgaria-ood
Adels-Contact Elektrotechnische Fabrik GmbH &amp; Co. KG,DEU,Germany,Bergisch Gladbach,info@adels-contact.de,www.adels-contact.de,adels-contact-elektrotechnische-fabrik-gmbh--co-kg
FOSHAN SHUNDE ADVANTE ELECTRON LTD,CHN,China,Foshan Guangdong,export1@china-advante.com,http://www.china-advante.com,foshan-shunde-advante-electron-ltd
AEC Illuminazione S.r.l.,ITA,Italy,Subbiano,info@aecilluminazione.it,www.aecilluminazione.com,aec-illuminazione-srl
aedifion GmbH,DEU,Germany,Köln,contact@aedifion.com,www.aedifion.com,aedifion-gmbh
a-emotional light,ESP,Spain,Ames,marcos.rioseco@a-emotionallight.com,www.a-emotionallight.com,calor-color-sl
AEM - Precision Cable Test,SGP,Singapore,Singapore,alf.sutherland@aem-test.com,https://aem-test.com/,aem-holdings-ltd
"Aero Light Co., Limited.",CHN,China,Guangzhou Guangdong,info@aerolight.cn,www.aerolight.cn,aero-light-co-limited
A.F.M.E. Asociacion de Fabricantes de Material Electrico,ESP,Spain,Barcelona,export@afme.es,www.afme.es,afme-asociacion-de-fabricantes-de-material-electrico
"AGC Lighting Co., Ltd.",CHN,China,Shenzhen Guangdong,info@agcled.com,www.agcled.com,agc-lighting-co-ltd
AGER RACK CABINET,TUR,Türkiye,Odunpazari /Eskisehir,sinem.karayel@ager.com.tr,www.ager.com.tr,ager-endustriyel-metal-urunler-san-ve-tic-ltd-sti
