name,fair,fair_id,city,country_iso3,email,homepage
2getherz Marketing Private Limited,Media Expo Mumbai 2026,MEDIAEXPOMUMBAI,New delhi,IND,2getherzacount@gmail.com,
360 PRINTING SOFTWARE SOLUTIONS,Media Expo Delhi 2026,MEDIAEXPODELHI,Greater Noida,IND,360Printingsoftwaresolutions@Gmail.Com,
3D Products India Private Limited,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,New Delhi,IND,info@3dproductsindia.in,
3i Publishing Pvt. Ltd,Techtextil India 2025,TECHTEXTILINDIA,Thane,IND,arvind@textileexcellence.com,WWW.TEXTILEEXCELLENCE.COM
3M India Limited,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Bengaluru,IND,vvkunkolienker@mmm.com,www.3mindia.in
3S Manufacturers and Exports,Media Expo Chennai 2026,MEDIAEXPOCHENNAI,Bangalore,IND,3smanufacturerandexports@gamil.com,
99 business,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Delhi,IND,business@99businessmedia.com,
4 Seasons Collections,Ambiente 2026,AMBIENTE,Firozabad,IND,imran@4seasonscollections.com,
22 7 ENTERPRISE,ISH 2025,ISH,Ahmedabad,IND,santosh@22-7.co.in,https://227enterprise.com/
Aadya International,Heimtextil 2027,HEIMTEXTIL,"Kasna, Greater Noida",IND,contact.aadyainternational@gmail.com,www.aadyahome.com
Aadya International,Ambiente 2026,AMBIENTE,"Kasna, Greater Noida",IND,contact.aadyainternational@gmail.com,www.aadyahome.com
A AND A RESORTWEAR LLP,Ambiente 2026,AMBIENTE,"Noida, U.P.",IND,office@aanda.net.in,
AARAV Fragrances &amp; Flavors Private Limited,Beautyworld Dubai 2026,BEAUTYWORLDMIDDLEEAST,Mumbai,IND,khushnuma.shaikh@aarav.co,www.aarav.co
Aarco Industries Pvt Ltd,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Jalandhar,IND,info@aarcoindustries.com,www.aarcoindustries.com
Aar Kay Forge Pvt. Ltd.,Automechanika Frankfurt 2026,AUTOMECHANIKA,Faridabad,IND,info@aarkayforge.com,www.aarkayforge.com
Aashriya International LLP,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Bengaluru,IND,info@aashriya.in,
Aatomize Manufacturing Pvt Ltd,Automechanika Frankfurt 2026,AUTOMECHANIKA,Rajkot,IND,export@amplindia.co.in,https://amplindia.co.in
Aatomize Manufacturing Private Limited,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Rajkot,IND,export@amplindia.co.in,www.amplindia.co.in
Abatek Private Limited,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Gurgaon,IND,,
ABBS International Inc.,Heimtextil 2027,HEIMTEXTIL,Panipat,IND,suren@abbs.in,www.abbs.in
A B Creation India,Apparel Sourcing Paris Autumn 2026,APPARELSOURCINGPARISAUTUMN,Delhi,IND,akshat@rajexport.net,www.abcreationindia.com
Abhilash Enterprises,Techtextil 2026,TECHTEXTIL,Pune,IND,abhilashpune@gmail.com,http://www.abhilashenterprises.com
Abhinandan Steels,Ambiente 2026,AMBIENTE,Delhi,IND,export@abhisteels.com,www.abhinandansteels.com
Abhinav Paper Products Private Limited,Paperworld Middle East 2026,PAPERWORLDMIDDLEEAST,TRONICA CITY,IND,abhinavjain17@apppl.net,
Abhinav Perfumers,Beautyworld Dubai 2026,BEAUTYWORLDMIDDLEEAST,Rakjot,IND,abhinav@abhinavperfumers.com,www.abhinavperfumers.com
Abhishek International,Ambiente 2026,AMBIENTE,Moradabad,IND,abhishek.ag6167@gmail.com,https://www.abhishekinternational.in/
Abhiuday Print Industries (P) Limited,Ambiente 2026,AMBIENTE,Gurugram,IND,director@abhiudayprintindustries.com,www.abhiudayprintindustries.com
Abinaya Grineters,Ambiente 2026,AMBIENTE,Karur,IND,raviselvan@abinayahome.in,www.abinayahome.com
A B PLASTICS,Techtextil India 2025,TECHTEXTILINDIA,Surat,IND,amit@abplastics.co.in,https://www.abplastics.co.in
Accessory Arcade,Ambiente 2026,AMBIENTE,Gurugram,IND,info@accessoryarcade.com,
Accura Print Engineers,Print Expo Chennai 2026,PRINTEXPOCHENNAI,Coimbatore,IND,accuraprintengineers@gmail.com,www.accuraprintengineers.com
Accurate Branding Solutions,Media Expo Chennai 2026,MEDIAEXPOCHENNAI,Bengaluru,IND,uday@accuratebrandingsolutions.com,www.accuratebrandingsolutions.com
Accurate Engineering,Automechanika Frankfurt 2026,AUTOMECHANIKA,Rajkot,IND,sales@accurateengineering.in,www.accurateengineering.in
Accurate Engineering,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Rajkot,IND,sales@accurateengineering.in,www.accurateengineering.in
Accurate Products Corporation Private Limited,Automechanika Frankfurt 2026,AUTOMECHANIKA,Chennai,IND,accurate@accurateproducts.com,www.accurateproducts.com
Accurub Corptech India Private Limited,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Pune,IND,jasmeet@accurategroup.co.in,www.accurub.com
ACE International,Automechanika Frankfurt 2026,AUTOMECHANIKA,Gurgaon,IND,ace@enginemountings.com,www.enginemountings.com
Ace Retail Display And Packaging LLP,Media Expo Chennai 2026,MEDIAEXPOCHENNAI,Mumbai,IND,jaimin@aceretaildisplay.com,www.aceretaildisplay.com
Acey Engineering Pvt Ltd,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Mumbai,IND,dsingh@aceyindia.com,www.aceyindia.com
Achal Amit &amp; Co.,Heimtextil 2027,HEIMTEXTIL,Agra,IND,agra@achalamit.in,www.achalamit.com
Achyut Autotech Pvt Ltd,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Ludhiana,IND,info@nxt.net.in,
Acme Udyog,Automechanika Frankfurt 2026,AUTOMECHANIKA,Jalandhar,IND,info@acmeudyog.com,www.acmeautoindia.com
Acme Udyog,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Jalandhar,IND,acmeauto11@gmail.com,www.acmeudyog.com
Acme Yarns Private Limited,Yarn Expo Autumn 2026,YARNEXPOSHANGHAIAUTUMN,,IND,,
Acme Yarns Private Ltd,Yarn Expo Spring 2026,YARNEXPOSPRING,,IND,,www.acmeintl.com
ACO Perfumes and Cosmetics LLP,Beautyworld Dubai 2026,BEAUTYWORLDMIDDLEEAST,Mumbai,IND,abunasar@ffperfumes.com,
Acquaviva India Private Limited,ISH 2025,ISH,Gautam Buddha Nagar,IND,sales@acqua-viva.de,www.acquaviva.in
Acrylic Art,Media Expo Mumbai 2026,MEDIAEXPOMUMBAI,SURAT,IND,acrylicart8@gmail.com,www.acrylicart.in
Acrylic House VA LLP,Media Expo Delhi 2026,MEDIAEXPODELHI,New Delhi,IND,acrylic.house1@gmail.com,acrylicsheet.in
Acube Kraft Pvt. Ltd.,Ambiente 2026,AMBIENTE,Moradabad,IND,ankur@acubekraft.com,www.acubekraft.com
Addsoft Technologies Limited,Intersec 2026,INTERSEC,Cuttack,IND,ashish.mohapatra@addsofttech.in,www.addsofttech.com
ADITYA BIRLA GROUP,Techtextil 2026,TECHTEXTIL,Mumbai,IND,anuj.bhandari@adityabirla.com,www.adityabirla.com
Aditya Enterprises,Media Expo Chennai 2026,MEDIAEXPOCHENNAI,Karur,IND,aevivek82@gmail.com,
ADITYA FLEX,Media Expo Chennai 2026,MEDIAEXPOCHENNAI,Karur,IND,aevivek82@gmail.com,
Aditya Flex,Media Expo Chennai 2026,MEDIAEXPOCHENNAI,Karur,IND,mnrads2017@gmail.com,
Aditya Impex,Media Expo Delhi 2026,MEDIAEXPODELHI,New Delhi,IND,vikrant.viransh@gmail.com,WWW.AIADITYAIMPEX.COM
Aditya Infotech Ltd,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Delhi,IND,avinash_singh@adityagroup.com,www.adityagroup.com
Adity International,Texworld Paris Autumn 2026,TEXWORLDPARISAUTUMN,Bengaluru,IND,adityinternational1@gmail.com,www.adityinternational.in
Adlon Industries Private Limited,Techtextil 2026,TECHTEXTIL,"Surat, Gujarat",IND,adlonindustries@gmail.com,www.adlonindustries.com
ADMARK DIGITECH PRIVATE LIMITED,Media Expo Mumbai 2026,MEDIAEXPOMUMBAI,Mehsana,IND,info@admarkindia.co.in,www.admarkindia.co.in
Admax Branding Solutions Pvt.Ltd.,Media Expo Delhi 2026,MEDIAEXPODELHI,New Delhi,IND,namitpal@admaxinc.com,
ADROIT DRIVESHAFTS PRIVATE LIMITED,Automechanika Buenos Aires 2026,AUTOMECHANIKABUENOSAIRES,Dhar,IND,gnh@adroitindustries.com,https://www.adroitindustries.com/
Adroit Driveshafts Private Limited,Automechanika Riyadh 2026,AUTOMECHANIKARIYADH,Pithampur,IND,anirudha.arya@groupsignet.com,
Adroit Industries (India) Ltd.,Automechanika Frankfurt 2026,AUTOMECHANIKA,Indore,IND,saurabh@groupsignet.com,www.adroitindustries.com
Ads led Pvt Ltd.,Media Expo Chennai 2026,MEDIAEXPOCHENNAI,Ahmedabad,IND,adsled1@gmail.com,www.adsled.in
ADVANCE CORK INTERNATIONAL,Ambiente 2026,AMBIENTE,New Delhi,IND,info@advancecork.com,www.advancecork.com
Advanced Graphic Systems,Print Expo Chennai 2026,PRINTEXPOCHENNAI,Mumbai,IND,rajeshpotdar@agsindia.com,www.agscolour.com
Advantech Handicrafts,Christmasworld 2026,CHRISTMASWORLD,New Delhi,IND,ankit@advantechhandicrafts.com,
Advantec Wheels Pvt Ltd,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,New Delhi,IND,sales@advantecwheels.com,www.advantecwheels.com
Advvitaa Designs PvT. Ltd,Apparel Sourcing Paris Autumn 2026,APPARELSOURCINGPARISAUTUMN,Noida,IND,director@advvitaa.com,www.advvitaa.com
Adwaith Lakshmi Industries Private Limited,Texcare International 2024,TEXCARE,Coimbatore,IND,a.arulmuruhan@adwaithlakshmi.in,www.adwaithlakshmi.in
ADWAITH LAKSHMI INDUSTRIES PRIVATE LIMITED,Interior Lifestyle Tokyo 2026,INTERIORLIFESTYLETOKYO,"TamilNadu Coimbatore,",IND,a.arulmuruhan@adwaithlakshmi.in,www.adwaithlakshmi.in
AECO Engineering LLP,INA PAACE Automechanika Mexico City 2026,INAPAACEAUTOMECHANIKAMEXICOCITY,Mumbai IN-13,IND,sales1@aecoproducts.com,www.aecoproducts.com
AECO Engineering LLP,Automechanika Jakarta 2026,AUTOMECHANIKAJAKARTA,IN-13 Mumbai,IND,SALES1@AECOPRODUCTS.COM,WWW.AECOPRODUCTS.COM
AEC Offshore Trading Pvt. Ltd.,Creativeworld 2026,CREATIVEWORLD,"Ramanagara, Karnataka",IND,export@aecoffshore.com,https://littlebirdiecrafts.com/
Aeroflex Industries Limited,ACHEMA Middle East 2026,ACHEMAMIDDLEEAST,Mumbai,IND,atif.khan@aeroflexindia.com,www.aeroflexindia.com
Aeroflex Sealing Material Manufacturing Co.,Automechanika Frankfurt 2026,AUTOMECHANIKA,Rohtak,IND,sales@aeroflexsealing.com,www.aeroflexsealing.com
Aeron Steels Private Limited,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Rohtak,IND,aeronsteels28@gmail.com,www.aeronsteels.com
Aesthetic Living Merchants Pvt. Ltd.,Ambiente 2026,AMBIENTE,Gurugram,IND,nitin@abia.in,www.abia.in
Aestrik Techno Signs,Media Expo Mumbai 2026,MEDIAEXPOMUMBAI,Mumbai,IND,aestriktechno@gmail.com,http://www.aestriktechno.com/
Aethon International LLP,Beautyworld Dubai 2026,BEAUTYWORLDMIDDLEEAST,Noida,IND,sales@aethon-international.com,www.aethoncart.com
Aff Aromatics PVT LTD,Beautyworld Dubai 2026,BEAUTYWORLDMIDDLEEAST,Kolkata,IND,info@blueglobalfze.com,www.affarom.com
Afflatus International,Apparel Sourcing Paris Autumn 2026,APPARELSOURCINGPARISAUTUMN,Gurgaon,IND,gokul.mahna@afflatusgroup.com,www.afflatusgroup.com
Afford Digital Inks,Media Expo Mumbai 2026,MEDIAEXPOMUMBAI,Surat,IND,info@affordinks.com,www.affordinks.com
Afford Digital Inks,Media Expo Delhi 2026,MEDIAEXPODELHI,Surat,IND,info@affordinks.in,www.affordink.com
Agam Metalco International,ACMA Automechanika New Delhi 2026,ACMAAUTOMECHANIKANEWDELHI,Delhi,IND,agam.metalco@gmail.com,
AGARAM INDUSTRIES,Techtextil India 2025,TECHTEXTILINDIA,Chennai,IND,vishakha@agaramindia.com,www.agaramindia.com
