company,origin_flag,flag_basis,possible_merge_artifact,occurrences_in_pdf,pdf_pages,description
"2ISYS CO., LTD.",FOREIGN,"East Asia (Co., Ltd. style)",False,1,3,"2iSYS delivers automated inspection and defect diagnosis systems for railways using AI, IoT, and machine vision. Its AI-based maintenance predicts conditions, detects anomalies, forecasts failures, and optimizes maintenance timing."
3M INDIA LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,3,"3M India offers a range of sustainable solutions to enhance passenger safety and comfort such as interior and exterior finishes, sun control and safety films, paint protection films, matting solutions, anti-corrosion products and signage components."
A.PAUL SOFTWARE SYSTEMS PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,3,"Design and manufacture of Passenger Information & Announcement Systems (PAPIS), Railway-grade CCTV/VSS, FogPASS devices, OBCMS, Smart Coach solutions, GPS/Wagon trackers, and IoT-based AI/ML predictive-maintenance and railway safety systems."
A.RAWIE GMBH + CO. KG,FOREIGN,Germany (GmbH); Germany (KG),False,1,3,"Rawie develops and manufactures friction and fixed buffer stops for mainline, metro, and tram systems worldwide. Each solution is custom-engineered for dynamic track safety, ensuring reliable protection in diverse rail environments."
AARGEE EQUIPMENTS PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,3,"Wireless LTE/5G/UHF routers, wireless EDGE gateway devices, MVB/CAN interfaces, SIL- controllers, intelligent PID, 03"
AB CONNECTORS LTD (A SUBSIDIARY OF TT ELECTRONICS PLC),FOREIGN,Sweden (AB); UK (PLC),False,1,3,"Halogen Free MIL-C-5015, VG95234, MIL-C-26482 Circular connectors for Rolling Stock Multipole connector for Data Transmission and Communications Power Connectors (Up to 1000 A) Cable harness solution for Railway HMI for Rolling Stoc"
ABBOTT DIAGNOSTICS MEDICAL PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,3,"Abbott Toxicology is a global provider of point of care drug and alcohol testing solutions, offering services for workplace safety, criminal justice, government programs, and healthcare. It specializes in forensic-quality laboratory testing."
ABITO KREATION,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,3,"Threadlockers, Retainers, Epoxies, Instant Bonders, Silicanes"
ACCURATE METROLOGY AND AUTOMATION COMPANY,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,3,"Automatic Measuring Stations for axles, wheelsets, and brake discs, Ultrasonic & Eddy Current Testing Systems for solid and hollow shafts, wheel rims, and underfloor inspection, Track Geometry & Rail Crack Detection Systems, Custom Gauging Instrument"
ACCURATE SALES AND SERVICES PVT LTD,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,4,1 3D CNC CMM for measuring Traction Motors 2 Horizontal CNC Dual Arm Type CMM for measuring bogie frames 3 Auto gauging for checking wheel set parameters & axle measurement 4 CTRB Refurbishment cell 5 Third Party Inspection 6 Turnkey Projects
ACUMEN RAIL PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,4,BODANÂ® tis a modular level crossing system made of polymer concrete. The frameless slabs are laid between the rails like a bridge and transfer the traffic loads from the road via the rail sleeper grid into the ballast bed. Life is more than 35 years.
ADINATH INDUSTRIES,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,4,"25kV Composite Railway Insulators for 1050mm CD / 1600mm CD for Railways/ DFCCIL/Metro Rails/OHE/Projects CGRSP/GRSP Rubber Pads for Railway Track Fastening System,ERC-MK-III & MK-V,SGCI Inserts for BG/Wider Sleepers Rubber to Metal Bonded Components A LANKAR CABLE INDUSTRIES Digital Linear Heat Sen"
ALLIED ELECTRONICS CORPORATION,FOREIGN,USA-style (Corporation),False,1,4,"Allied MG connectors are quick-coupling connectors, designed for use in harsh environments involving high vibration, frequent coupling/decoupling, and shock. Type MG is best suited for Mass transit (Rail), Infantry Combat Vehicles, Automation Etc"
ALLTRONIX (BANGALORE),LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,4,Industries We Serve Industrial Communication Railways and metro Factory Automation Material Handling Machine Tools Renewable Energy Transportation Defence Power & E-Mobility
AMER NSM INDIA PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,4,"Our product range consists of Welding Generators, Alternators, Lighting towers, Alternators, D. C. Motors, Actuators and Drivers for the DC Motors, Battery Motorized Trolley."
ANAMET EUROPE,FOREIGN,"name contains ""EUROPE""",False,1,4,"conduits and fittings , cable glands , rail connectors"
AND HITECH INDUSTRIES LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,4,"Braking & suspension products like brake discs, brake pads, brake failure indicators, air suspension systems, and dampers for LHB & Vande Bharat - Energy-efficient HVAC (through sister concern Sphere Thermal) - Automatic Doors for coaches, etc."
APAR INDUSTRIES LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,5,"APAR'™s Harness & Locomotive Division makes wiring harnesses, railway cables, earthing kits, elastomeric & e-beam cables, and accessories like connectors, conduits, and terminations for reliable locomotive and rolling stock performance."
APOLLO HEAT EXCHANGERS PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,5,Traction Transformers and Convertor Cooling Systems Traction Transformer Tanks Liquid Cold Plate
ARIHANT PANEL FITTINGS PRIVATED LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,5,Quarter turn Locks Compression Locks & Latches Handle Locks Rod Control Locks Electronic Locks Canopy Locks Hinges & Door-Stay Handles Sealing Profiles Sleeving Systems Wiring Accessories DC Fans & Filters Panel Fasteners 9 Fold Sections Locking Acce
ARMACELL INDIA PRIVATE LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,5,"Armacell focuses on insulation materials for technical equipment, high-performance foams for acoustic and lightweight applications, recycled PET products, next-generation aerogel technology and passive fire protection systems."
ARORA TECHNOLOGIES (P) LIMITED,LIKELY INDIAN-DOMESTIC (unconfirmed),,False,1,5,"We design & manufacture NDT Products & Accessories like MPI Machines, MPT/LPT Chemicals, LED UV Lamps, UV Meter, Gauss Meter, Yokes, Film Viewers etc. Additionally, we represent leading global companies for advanced solutions and automation system. 05"
